Artist,Streams,Daily,As lead,Solo,As feature
YNW Melly,"5,102.6",2.257,"4,641.2","3,045.8",461.4
Fifth Harmony,"5,094.8",1.105,"4,817.3","1,961.3",277.5
Calibre 50,"5,088.4",2.584,"4,639.2","4,262.2",449.2
Thomas Rhett,"5,071.9",1.780,"4,690.7","3,895.6",381.2
Lil Skies,"5,068.3",0.968,"4,112.7","2,506.8",955.6
Johnny Cash,"5,063.4",2.018,"4,451.1","3,457.2",612.3
Macklemore & Ryan Lewis,"5,058.0",2.317,"5,058.0",108.3,
Danny Ocean,"5,051.7",3.253,"4,000.2","3,839.0","1,051.4"
Billy Joel,"4,987.6",3.068,"4,942.7","4,910.9",45.0
Lost Frequencies,"4,978.3",3.937,"4,637.8","1,242.8",340.5
H.E.R.,"4,970.4",2.434,"2,781.1","1,680.4","2,189.3"
Ryan Lewis,"4,923.0",2.200,,,"4,923.0"
Backstreet Boys,"4,917.2",2.387,"4,625.0","4,601.3",292.3
Timbaland,"4,913.5",3.796,"2,124.7",20.1,"2,788.8"
Chris Stapleton,"4,911.6",4.420,"3,927.8","3,927.8",983.8
Mustard,"4,910.4",1.669,"2,560.8",2.1,"2,349.6"
Alejandro Sanz,"4,894.0",2.371,"3,658.8","2,880.1","1,235.2"
Tate McRae,"4,879.8",3.287,"4,073.8","3,707.9",806.0
Glee Cast,"4,870.1",1.123,"4,870.1","4,106.8",
Nelly,"4,850.4",2.470,"3,982.4","1,438.5",868.0
Ricardo Arjona,"4,829.4",2.798,"4,819.6","4,321.3",9.8
Burna Boy,"4,829.1",7.417,"2,709.4","1,928.7","2,119.7"
Bon Iver,"4,820.9",2.488,"3,432.1","3,432.1","1,388.8"
Lil Pump,"4,813.1",0.624,"2,465.1","2,014.8","2,348.0"
A$AP Ferg,"4,812.1",1.457,"3,036.9","1,050.2","1,775.2"
El Alfa,"4,804.3",4.630,"2,367.5",402.9,"2,436.8"
Hans Zimmer,"4,803.1",3.832,"4,467.9","2,969.7",335.2
Jason Aldean,"4,798.3",2.349,"4,572.0","4,159.0",226.3
The Offspring,"4,784.3",3.720,"4,784.3","4,706.2",
Disturbed,"4,778.2",1.949,"4,778.2","4,743.7",
Nio Garcia,"4,778.2",1.449,"3,787.4",105.6,990.7
Anirudh Ravichander,"4,771.6",14.615,"3,809.2",978.8,962.4
DJ Luian,"4,764.7",2.767,961.9,,"3,802.7"
Pearl Jam,"4,755.4",2.137,"4,755.4","4,744.2",
Steve Lacy,"4,733.9",6.474,"3,971.9","3,895.9",762.0
Eagles,"4,731.3",2.695,"4,731.3","4,731.3",
TINI,"4,710.2",3.734,"3,625.9",921.7,"1,084.3"
The Strokes,"4,688.3",2.816,"4,688.3","4,667.8",
Calum Scott,"4,663.9",2.760,"3,201.9","2,723.0","1,462.0"
Juanes,"4,639.2",2.773,"3,005.4","2,339.2","1,633.8"
Capital Bra,"4,631.9",0.943,"3,134.4","1,147.6","1,497.5"
Fuerza Regida,"4,584.0",10.918,"3,785.1","1,686.7",798.9
24kGoldn,"4,577.9",1.510,"3,633.7","1,174.5",944.2
James Bay,"4,571.2",1.275,"4,449.5","4,127.8",121.7
Moneybagg Yo,"4,563.3",2.839,"2,727.3","1,419.6","1,836.0"
Three Days Grace,"4,562.7",2.203,"4,562.7","4,546.0",
George Ezra,"4,562.0",2.094,"4,562.0","4,422.6",
Flume,"4,536.2",1.282,"4,388.6","1,075.8",147.6
Mac DeMarco,"4,515.8",4.706,"4,473.5","4,473.5",42.3
Avenged Sevenfold,"4,511.3",2.561,"4,507.0","4,501.8",4.3
Alec Benjamin,"4,510.0",2.642,"4,326.1","4,176.3",184.0
Phil Collins,"4,497.7",2.437,"4,178.5","4,136.8",319.2
Original Broadway Cast of Hamilton,"4,483.0",1.662,536.5,536.5,"3,946.5"
Mambo Kingz,"4,474.5",2.630,6.6,0.9,"4,467.9"
KHEA,"4,439.8",2.467,"2,065.2",382.8,"2,374.6"
AFROJACK,"4,425.3",1.485,"1,392.0",49.5,"3,033.4"
Tones And I,"4,424.9",1.221,"4,394.8","4,393.7",30.1
Dean Lewis,"4,424.6",2.465,"4,130.5","4,092.5",294.1
X Ambassadors,"4,416.1",1.507,"2,458.6","1,960.0","1,957.5"
PnB Rock,"4,410.5",0.923,"2,015.2","1,121.5","2,395.3"
B.o.B,"4,404.9",2.148,"3,015.0",439.3,"1,389.9"
Jay Wheeler,"4,361.0",3.306,"2,552.4",443.0,"1,808.6"
Pablo AlborÃ¡n,"4,360.3",2.111,"3,595.8","2,706.3",764.5
Rich The Kid,"4,357.1",1.066,"2,370.5","1,175.1","1,986.6"
Dan + Shay,"4,350.6",1.676,"4,265.8","3,067.4",84.7
Noriel,"4,341.0",2.445,594.3,139.3,"3,746.7"
benny blanco,"4,339.1",1.447,"3,452.7",3.4,886.5
Lunay,"4,336.4",1.210,"2,505.5",231.1,"1,830.9"
Ricky Martin,"4,335.6",1.648,"3,692.5","1,834.0",643.1
Bryan Adams,"4,330.9",4.812,"4,121.6","3,745.2",209.3
LANY,"4,315.3",1.788,"3,768.4","3,706.8",546.9
Lin-Manuel Miranda,"4,311.2",1.805,"1,506.6",149.8,"2,804.5"
CÃ©line Dion,"4,301.5",1.978,"4,113.8","3,645.2",187.7
Cigarettes After Sex,"4,299.8",5.898,"4,299.8","4,299.8",
Train,"4,297.8",1.841,"4,042.6","3,915.6",255.1
Lil Mosey,"4,291.2",1.021,"3,702.3","3,010.4",588.9
Bee Gees,"4,260.2",2.723,"4,196.8","4,096.8",63.4
Dire Straits,"4,246.5",2.670,"4,246.5","4,246.5",
Lukas Graham,"4,245.2",2.514,"3,983.2","3,736.7",262.0
MGMT,"4,234.9",1.976,"2,934.6","2,922.3","1,300.3"
Dave,"4,231.7",7.924,"3,757.6","1,568.4",474.2
Daya,"4,223.9",1.051,"1,794.1","1,683.9","2,429.8"
Jax Jones,"4,213.8",1.756,"3,019.8",59.3,"1,194.0"
Cazzu,"4,209.5",2.401,"1,082.0",514.3,"3,127.6"
Plan B,"4,193.9",4.639,"2,724.6","2,309.0","1,469.3"
Outkast,"4,191.4",2.414,"4,014.8","3,629.5",176.6
Joan Sebastian,"4,190.4",3.075,"4,125.5","3,486.7",64.9
Vicente FernÃ¡ndez,"4,176.5",3.185,"4,042.2","3,965.5",134.3
Los Ãngeles Azules,"4,163.1",3.349,"4,013.9","1,388.6",149.2
Becky Hill,"4,147.0",2.460,"1,446.0",265.5,"2,701.0"
Jessie J,"4,142.1",1.497,"4,024.9","2,097.0",117.2
AJR,"4,139.2",1.761,"3,915.2","3,625.4",224.0
Iggy Azalea,"4,133.8",1.047,"2,710.9",733.0,"1,422.9"
Clairo,"4,129.1",2.962,"3,144.9","2,950.7",984.2
SEVENTEEN,"4,123.2",4.819,"4,095.9","4,071.4",27.4
Armin van Buuren,"4,119.9",1.688,"3,612.5",803.7,507.4
Maren Morris,"4,111.3",1.405,"1,781.8","1,491.5","2,329.5"
Stormzy,"4,108.6",1.676,"2,486.8","1,567.9","1,621.8"
The Police,"4,108.1",3.022,"4,108.1","4,097.6",
will.i.am,"4,101.7",1.796,"1,697.6",141.6,"2,404.1"
ILLENIUM,"4,099.2",1.512,"2,867.0",164.8,"1,232.2"
Sam Feldt,"4,094.8",1.486,"2,989.1",137.5,"1,105.7"
Seeb,"4,090.7",0.989,907.3,6.7,"3,183.4"
RAYE,"4,088.4",2.678,"1,502.1",356.1,"2,586.3"
La Arrolladora Banda El LimÃ³n De Rene Camacho,"4,086.1",2.470,"4,064.0","4,002.4",22.1
Damso,"4,065.7",2.246,"2,778.4","2,525.7","1,287.3"
Luciano,"4,064.5",2.397,"2,818.5","2,028.2","1,246.0"
Eslabon Armado,"4,054.8",5.809,"3,828.5","2,063.4",226.3
Jesse & Joy,"4,006.7",2.565,"3,478.4","2,487.5",528.3
Zach Bryan,"4,001.4",24.173,"4,001.4","3,781.4",
Jeremy Zucker,"4,000.0",1.314,"3,683.8","1,546.5",316.3
CNCO,"3,987.2",1.001,"3,571.5","2,298.9",415.7
Rod Wave,"3,986.4",4.091,"3,842.3","3,115.2",144.1
Passenger,"3,980.7",1.434,"3,980.7","3,797.5",
Foster The People,"3,966.2",1.411,"3,774.7","3,680.1",191.5
Luis R Conriquez,"3,934.1",5.908,"1,921.6","1,216.8","2,012.5"
Nas,"3,934.0",1.951,"2,824.6","1,709.9","1,109.3"
Cage The Elephant,"3,922.4",1.923,"3,922.4","3,853.3",
Carlos Vives,"3,919.3",1.691,"3,417.1","1,329.8",502.1
Mitski,"3,916.9",3.871,"3,881.6","3,881.6",35.3
MEDUZA,"3,915.5",2.946,"3,651.6",6.8,263.9
Sigala,"3,899.5",1.343,"3,345.9",486.6,553.6
Juan Gabriel,"3,891.3",2.731,"3,589.0","2,910.1",302.3
Sabrina Carpenter,"3,887.7",4.664,"2,838.8","2,706.9","1,048.9"
Lyanno,"3,880.0",2.040,514.1,110.0,"3,365.9"
Juan MagÃ¡n,"3,858.6",1.030,"2,168.0",564.5,"1,690.6"
The Cure,"3,855.1",2.623,"3,853.1","3,791.0",1.9
Bob Dylan,"3,849.8",1.311,"3,842.4","3,608.8",7.4
The Game,"3,847.6",1.659,"3,211.1",503.4,636.4
Marvin Gaye,"3,833.6",2.280,"3,762.6","2,169.5",71.0
Bibi und Tina,"3,823.5",3.494,"3,823.5","3,472.3",
Korn,"3,804.5",2.562,"3,790.5","3,438.0",14.0
Blake Shelton,"3,798.2",1.305,"3,435.9","2,722.4",362.3
James Blunt,"3,797.9",1.438,"3,083.1","3,052.7",714.8
Zac Brown Band,"3,793.3",2.095,"3,777.5","3,171.0",15.8
John Williams,"3,782.5",1.891,"2,357.4","1,276.5","1,425.1"
Wale,"3,779.8",1.118,"2,130.3",367.2,"1,649.5"
Chase Atlantic,"3,775.1",4.761,"3,737.2","3,507.7",37.9
Hillsong Worship,"3,759.5",1.866,"3,759.5","1,379.4",
Nelly Furtado,"3,755.1",3.231,"3,312.5","1,684.0",442.7
Soda Stereo,"3,750.5",2.580,"3,750.5","3,748.8",
Ufo361,"3,732.4",1.334,"3,063.2","1,586.1",669.2
Imanbek,"3,730.5",1.624,"1,009.6",4.7,"2,720.9"
Shreya Ghoshal,"3,727.7",7.646,726.8,358.4,"3,000.8"
Gzuz,"3,726.7",1.366,"1,583.5",616.4,"2,143.2"
Mau y Ricky,"3,726.5",1.329,"2,442.9",407.2,"1,283.6"
Iron Maiden,"3,722.3",1.752,"3,722.3","3,722.3",
Gwen Stefani,"3,715.7",1.878,"2,484.6","1,321.7","1,231.1"
Pentatonix,"3,710.6",0.487,"3,694.7","3,283.5",15.9
Cosculluela,"3,699.7",2.003,"1,862.8",648.8,"1,836.9"
Madison Beer,"3,689.2",1.612,"2,584.1","2,255.1","1,105.0"
Journey,"3,687.0",2.048,"3,687.0","3,631.9",
Skillet,"3,682.2",1.826,"3,682.2","3,656.8",
Nicki Nicole,"3,681.7",5.472,"1,334.9",648.9,"2,346.8"
Zion,"3,672.3",2.059,348.5,263.4,"3,323.8"
Boyce Avenue,"3,661.0",0.974,"3,661.0","2,298.1",
Lil Jon,"3,657.9",1.860,692.4,14.2,"2,965.6"
Central Cee,"3,648.2",8.016,"2,751.9","2,619.4",896.3
PNL,"3,639.9",1.818,"3,639.9","3,561.1",
Gerardo Ortiz,"3,638.6",2.196,"2,871.4","2,690.4",767.2
C. Tangana,"3,634.1",1.701,"3,197.8",972.7,436.4
Luan Santana,"3,630.9",3.495,"3,065.9","2,287.7",564.9
Carly Rae Jepsen,"3,621.7",1.939,"2,989.8","2,910.2",631.9
Depeche Mode,"3,619.1",2.291,"3,619.1","2,717.1",
Eric Church,"3,612.8",1.624,"3,228.7","3,196.8",384.1
Tom Odell,"3,599.7",2.801,"3,552.8","3,177.9",46.9
Tiago PZK,"3,586.9",4.597,"1,884.8",356.1,"1,702.1"
Weezer,"3,584.6",1.938,"3,561.7","3,519.8",22.9
alt-J,"3,584.6",2.152,"3,583.0","3,419.7",1.6
Tim McGraw,"3,582.7",1.682,"3,204.6","2,397.3",378.2
The Doors,"3,574.0",1.813,"3,360.9","3,359.9",213.1
MARINA,"3,556.8",2.584,"3,344.6","3,294.7",212.2
Shaggy,"3,545.3",2.021,"2,362.9",461.0,"1,182.5"
A.R. Rahman,"3,543.5",4.855,"3,434.1",262.8,109.4
Santa Fe Klan,"3,530.8",2.714,"2,024.9",787.1,"1,505.9"
Rudimental,"3,530.7",1.503,"3,107.5",22.5,423.2
The Smiths,"3,524.6",3.512,"3,524.6","3,524.6",
Joey Bada$$,"3,523.2",1.814,"2,402.0","1,897.3","1,121.2"
bbno$,"3,520.5",1.806,"1,628.2",222.9,"1,892.3"
Mike Posner,"3,507.0",1.248,"3,356.1",567.4,150.9
Gera MX,"3,494.6",2.855,"2,425.8",761.6,"1,068.8"
Pusha T,"3,492.7",1.288,"1,315.4",455.5,"2,177.3"
Gente De Zona,"3,492.0",1.103,"1,416.2",317.8,"2,075.8"
The Black Keys,"3,489.3",1.365,"3,489.2","3,483.8",0.1
Rod Stewart,"3,482.7",1.563,"2,892.3","2,589.0",590.3
Birdy,"3,479.0",1.254,"3,321.9","2,889.8",157.1
LMFAO,"3,476.7",1.451,"3,196.6","1,332.8",280.1
Chief Keef,"3,475.0",2.251,"2,547.5","1,721.6",927.5
Noah Cyrus,"3,454.4",1.352,"2,479.7","1,363.2",974.7
Yeat,"3,445.1",6.344,"3,360.3","2,942.8",84.9
Joyner Lucas,"3,444.2",1.149,"2,612.4","1,260.6",831.8
Papa Roach,"3,437.3",1.527,"3,379.9","3,203.6",57.3
Skepta,"3,428.9",1.598,"1,331.1",547.0,"2,097.8"
SAINt JHN,"3,420.0",1.038,"3,215.6",781.3,204.3
Kenny Chesney,"3,411.4",1.547,"3,273.0","2,782.4",138.4
Rise Against,"3,406.8",1.323,"3,403.1","3,399.7",3.7
Yo Gotti,"3,395.9",0.835,"1,806.5",495.0,"1,589.4"
Swedish House Mafia,"3,395.3",3.082,"3,214.3",738.4,181.0
The Vamps,"3,394.7",0.826,"2,894.6","1,256.5",500.1
Ludovico Einaudi,"3,391.3",1.668,"3,341.1","2,083.6",50.3
Dermot Kennedy,"3,384.7",1.778,"2,563.2","2,515.6",821.5
Marco Antonio SolÃ­s,"3,380.8",2.397,"2,710.6","2,492.7",670.2
BROCKHAMPTON,"3,375.3",0.691,"3,375.3","3,220.5",
Ice Cube,"3,374.2",2.266,"3,112.0","2,418.9",262.3
Surfaces,"3,370.8",0.839,"3,363.2","2,997.8",7.6
Why Don't We,"3,364.0",1.054,"3,213.1","2,956.7",151.0
"Earth, Wind & Fire","3,359.5",2.010,"3,214.3","2,767.1",145.2
Paul McCartney,"3,358.9",1.321,"1,863.4","1,414.6","1,495.4"
Jeezy,"3,356.3",1.119,"1,697.1",558.3,"1,659.2"
Joel Corry,"3,347.3",2.105,"3,006.1",414.0,341.1
TOMORROW X TOGETHER,"3,345.0",3.190,"3,207.9","3,092.2",137.0
Alex Rose,"3,332.7",1.421,"2,316.1",176.9,"1,016.6"
R.E.M.,"3,329.7",2.061,"3,329.7","3,324.0",
Baby Keem,"3,327.7",4.090,"3,214.1","2,134.6",113.6
Alfredo Olivas,"3,315.9",5.067,"3,111.3","3,066.9",204.6
DJ Nelson,"3,313.3",2.186,"1,045.0",483.3,"2,268.3"
Bea Miller,"3,306.8",1.019,"1,565.6","1,286.5","1,741.2"
Aitana,"3,306.0",2.371,"1,948.8",969.0,"1,357.1"
Carlos Rivera,"3,303.7",1.449,"2,653.8","2,000.5",649.9
Os BarÃµes Da Pisadinha,"3,303.5",1.286,"2,660.5","1,838.1",642.9
Destiny's Child,"3,300.2",1.562,"3,281.2","3,048.6",19.0
Carrie Underwood,"3,299.3",1.489,"2,740.1","2,573.0",559.1
Oliver Tree,"3,299.2",2.688,"2,790.9","1,891.0",508.3
Keith Urban,"3,296.7",1.121,"2,844.3","2,246.4",452.4
Eric Clapton,"3,294.6",1.349,"3,108.0","2,747.4",186.6
The Beach Boys,"3,288.1",1.665,"3,288.1","3,259.5",
Topic,"3,281.0",1.878,"1,887.1",24.4,"1,393.9"
JP Cooper,"3,281.0",0.739,"1,875.8","1,557.1","1,405.2"
Norah Jones,"3,278.8",1.365,"3,009.9","2,950.4",269.0
George Michael,"3,273.7",1.906,"3,225.6","2,754.6",48.1
EXO,"3,271.4",1.733,"3,271.4","3,271.4",
Grupo Frontera,"3,268.7",14.428,"2,018.6",743.0,"1,250.1"
Milky Chance,"3,263.8",1.763,"3,263.8","3,060.9",
Limp Bizkit,"3,262.2",2.416,"3,261.2","3,137.5",1.0
El Fantasma,"3,261.7",2.069,"3,134.7","2,215.7",127.0
Jorja Smith,"3,250.5",1.995,"2,221.4","1,380.0","1,029.1"
Busta Rhymes,"3,244.3",1.376,"1,376.6",520.6,"1,867.7"
AminÃ©,"3,244.1",1.190,"2,964.4","2,387.3",279.7
Mabel,"3,239.5",0.783,"2,159.6","1,688.2","1,079.9"
Bradley Cooper,"3,226.5",1.056,395.2,395.2,"2,831.4"
Simon & Garfunkel,"3,224.9",1.507,"3,224.9","3,223.7",
Sido,"3,222.8",1.459,"2,166.1","1,237.2","1,056.7"
Gryffin,"3,221.2",0.903,"2,481.0",10.4,740.3
MNEK,"3,219.9",1.135,"1,086.0",93.7,"2,134.0"
GIMS,"3,216.3",1.575,"2,480.9","1,285.7",735.4
TOTO,"3,215.2",1.989,"3,213.4","3,207.6",1.9
Niska,"3,212.7",1.435,"2,004.0","1,246.1","1,208.7"
Samra,"3,202.0",0.838,"1,762.2","1,036.2","1,439.8"
Hillsong UNITED,"3,200.8",1.246,"3,182.9",731.0,18.0
Christina Perri,"3,195.8",1.499,"2,973.3","2,935.3",222.5
Leslie Odom Jr.,"3,194.7",1.170,"1,596.2",94.5,"1,598.6"
Liam Payne,"3,193.0",0.470,"2,350.3",424.4,842.7
WILLOW,"3,180.9",1.391,"2,001.4","1,580.8","1,179.5"
Jon Bellion,"3,160.4",0.673,"2,375.7","2,084.4",784.6
Los Tigres Del Norte,"3,152.5",2.670,"3,107.8","2,932.6",44.6
DNCE,"3,152.5",1.044,"2,651.7","2,454.3",500.8
Olivia O'Brien,"3,152.4",0.818,"1,692.1","1,425.7","1,460.2"
JosÃ© JosÃ©,"3,150.1",2.334,"3,125.5","2,856.4",24.6
Missy Elliott,"3,147.6",1.300,"1,356.5",819.3,"1,791.1"
Juan Luis Guerra 4.40,"3,145.9",2.660,"2,265.7","2,140.2",880.2
Natalia Lafourcade,"3,138.5",1.863,"2,228.8","1,500.0",909.6
Breaking Benjamin,"3,130.2",1.271,"3,090.2","3,020.2",40.0
Cali Y El Dandee,"3,128.6",1.190,"2,029.3",719.0,"1,099.3"
Ha*Ash,"3,120.2",2.040,"2,557.9","2,000.6",562.3
Black Sabbath,"3,119.1",1.995,"3,119.1","3,118.7",
Normani,"3,113.1",0.974,687.8,376.7,"2,425.4"
Booba,"3,112.2",1.228,"2,207.5","1,540.7",904.7
Dimitri Vegas & Like Mike,"3,106.8",1.230,"2,817.8",96.5,289.0
Adam Levine,"3,102.2",1.594,387.3,372.8,"2,715.0"
Matoma,"3,099.1",0.508,"1,826.1",75.9,"1,273.0"
The Cranberries,"3,097.3",2.068,"3,097.3","3,095.2",
Saweetie,"3,095.3",1.231,"1,993.3",928.2,"1,102.1"
Lynyrd Skynyrd,"3,093.2",1.891,"3,093.0","3,074.5",0.1
girl in red,"3,088.6",2.268,"3,088.6","3,088.6",
Juhn,"3,081.2",1.244,514.1,128.9,"2,567.0"
Years & Years,"3,078.8",0.857,"2,671.9","2,192.0",406.9
Van Morrison,"3,073.6",1.662,"2,964.4","2,899.5",109.2
GuÃ¨,"3,071.5",2.090,"1,746.6",500.2,"1,324.9"
Volbeat,"3,068.9",1.211,"3,068.9","2,676.0",
Kodaline,"3,061.2",1.088,"2,757.5","2,689.1",303.7
Robbie Williams,"3,052.9",1.315,"2,986.2","2,635.7",66.7
Julieta Venegas,"3,049.8",2.286,"1,556.4","1,311.8","1,493.4"
Aya Nakamura,"3,035.9",1.595,"2,844.1","1,959.4",191.8
Ruth B.,"3,029.4",2.086,"2,926.4","2,664.6",103.0
Deftones,"3,015.3",4.045,"3,015.3","3,000.7",
Jimi Hendrix,"3,013.6",1.204,"3,013.0","2,987.1",0.6
Denzel Curry,"3,012.6",1.344,"2,061.4","1,249.8",951.3
Van Halen,"3,005.0",1.813,"3,005.0","2,996.4",
LUDMILLA,"2,994.8",3.226,"1,949.6",895.8,"1,045.2"
Apache 207,"2,991.2",2.465,"2,716.2","2,566.3",275.0
Jessie Reyez,"2,983.3",1.091,987.9,651.3,"1,995.4"
Sidhu Moose Wala,"2,964.3",4.220,"2,680.0","1,241.5",284.3
ODESZA,"2,963.2",1.242,"2,579.7",985.3,383.6
Shinedown,"2,953.0",1.265,"2,953.0","2,938.3",
Sleepy Hallow,"2,951.5",2.688,"2,431.6","1,542.6",519.9
Sabaton,"2,947.8",1.457,"2,932.7","2,882.9",15.1
Melendi,"2,946.2",1.719,"2,757.0","2,173.9",189.3
Ella Mai,"2,939.4",1.223,"2,442.4","1,897.0",497.0
Wyclef Jean,"2,937.0",1.426,536.3,83.3,"2,400.6"
ZoÃ©,"2,936.8",1.767,"2,921.7","2,792.7",15.1
Rage Against The Machine,"2,935.7",1.414,"2,935.7","2,935.7",
George Strait,"2,934.9",1.618,"2,891.8","2,819.4",43.1
DÃ­melo Flow,"2,934.4",0.833,817.2,0.2,"2,117.2"
Casper Magico,"2,933.7",0.999,479.6,35.7,"2,454.1"
MatuÃª,"2,932.0",2.773,"2,162.8","1,542.7",769.2
David Bisbal,"2,924.6",1.143,"2,036.7","1,257.8",887.8
Bruno & Marrone,"2,922.0",1.751,"2,342.1","1,970.6",579.9
Jowell & Randy,"2,916.5",1.697,894.2,295.9,"2,022.3"
The White Stripes,"2,915.0",1.550,"2,915.0","2,867.6",
Internet Money,"2,914.7",1.044,"2,403.5",2.0,511.2
Nekfeu,"2,907.7",1.182,"2,251.5","1,404.3",656.2
All Time Low,"2,895.2",1.030,"2,867.5","2,437.3",27.6
Red Velvet,"2,890.5",1.197,"2,868.4","2,845.9",22.2
Ms. Lauryn Hill,"2,888.0",1.846,"1,301.1","1,123.3","1,586.9"
Alan Jackson,"2,882.2",1.943,"2,664.3","2,361.7",217.9
Capo Plaza,"2,881.4",1.703,"1,584.8",945.8,"1,296.7"
Scorpions,"2,881.2",1.669,"2,880.2","2,841.2",1.0
Jaden,"2,874.6",0.710,"2,208.7","1,605.3",665.9
Andy Grammer,"2,874.3",1.024,"2,683.1","2,495.3",191.2
Diddy,"2,868.7",1.475,"1,318.5",12.1,"1,550.2"
Evanescence,"2,864.5",1.801,"2,864.5","2,857.5",
Grey,"2,864.3",0.658,101.6,14.4,"2,762.7"
Jasmine Thompson,"2,856.2",0.687,"1,511.4","1,385.6","1,344.8"
The Fray,"2,854.0",1.105,"2,849.0","2,848.1",5.0
KISS,"2,848.7",1.549,"2,848.3","2,830.5",0.4
Phoebe Bridgers,"2,843.7",3.746,"1,802.5","1,734.6","1,041.3"
Skylar Grey,"2,841.8",0.807,575.9,356.1,"2,265.9"
Lord Huron,"2,838.6",2.340,"2,838.6","2,574.8",
Young Dolph,"2,837.8",1.598,"2,176.2","1,134.4",661.6
Dolly Parton,"2,837.6",1.408,"2,374.6","1,744.5",463.0
Leon Bridges,"2,835.1",1.633,"1,957.2","1,782.6",877.9
Kontra K,"2,828.5",1.626,"2,475.7","1,777.2",352.8
Ray Dalton,"2,824.1",1.960,241.2,153.1,"2,582.9"
Dilsinho,"2,823.8",1.886,"1,967.5","1,109.1",856.3
Sublime,"2,823.5",1.421,"2,821.4","2,772.7",2.1
The xx,"2,823.4",0.773,"2,790.9","2,657.5",32.5
Rag'n'Bone Man,"2,822.7",0.950,"1,925.7","1,756.1",897.0
Quinn XCII,"2,818.9",0.641,"1,962.9","1,352.6",856.0
Prince,"2,802.2",1.267,"2,797.5","2,606.9",4.7
Banda El Recodo,"2,801.3",1.535,"2,728.1","2,606.9",73.2
Hollywood Undead,"2,800.5",0.948,"2,774.0","2,689.9",26.5
Danna Paola,"2,795.8",1.475,"1,917.0","1,512.6",878.8
Mon Laferte,"2,795.2",1.928,"2,366.0","1,653.0",429.2
Daryl Hall & John Oates,"2,791.5",1.992,"2,791.5","2,760.1",
A Day To Remember,"2,785.6",1.057,"2,702.5","2,694.7",83.0
KYLE,"2,771.6",0.486,"2,592.0",606.1,179.7
Lazza,"2,770.5",2.911,"1,637.3",844.6,"1,133.2"
beabadoobee,"2,767.0",2.856,"1,217.5","1,092.2","1,549.5"
Ozzy Osbourne,"2,764.3",1.553,"2,177.8","2,047.5",586.6
Enya,"2,761.3",1.321,"2,727.5","2,726.3",33.7
Los Temerarios,"2,756.5",3.990,"2,756.5","2,756.5",
Jay Rock,"2,754.3",1.735,"1,386.5",248.2,"1,367.8"
Stromae,"2,746.4",1.406,"2,676.6","2,429.1",69.8
Shania Twain,"2,744.1",2.077,"2,465.9","2,348.7",278.3
Chelsea Cutler,"2,738.4",0.738,965.3,741.2,"1,773.1"
Tinashe,"2,738.2",0.753,"1,408.8",577.7,"1,329.5"
King Von,"2,733.1",2.870,"2,254.9","1,487.0",478.1
Powfu,"2,724.6",1.056,"2,277.2",202.8,447.4
Mike WiLL Made-It,"2,724.3",1.460,"2,050.7",0.6,673.6
The Smashing Pumpkins,"2,719.1",1.698,"2,719.1","2,718.8",
Sum 41,"2,716.5",1.537,"2,707.7","2,703.1",8.8
Pedro CapÃ³,"2,716.3",1.076,"1,532.6",321.0,"1,183.7"
Zendaya,"2,712.4",1.348,382.3,311.6,"2,330.1"
R. Kelly,"2,711.3",0.696,"1,936.8","1,498.8",774.6
Charlie Brown Jr.,"2,706.9",2.174,"2,663.0","2,556.1",43.9
Aretha Franklin,"2,702.7",1.293,"2,624.1","2,455.4",78.6
Jay Chou,"2,702.6",1.709,"2,699.0","2,306.7",3.6
SCH,"2,701.6",1.530,"1,621.2","1,288.0","1,080.3"
KEVIN ROLDAN,"2,697.3",1.200,"1,822.3",863.1,875.1
AlemÃ¡n,"2,692.8",1.989,"1,689.8",572.5,"1,003.0"
Los Tucanes De Tijuana,"2,690.3",3.526,"2,632.0","2,593.9",58.2
Keane,"2,688.5",1.907,"2,688.5","2,637.9",
Elevation Worship,"2,682.5",2.067,"2,642.3","1,858.1",40.2
Goodboys,"2,681.4",1.122,112.3,92.6,"2,569.1"
DMX,"2,680.6",1.218,"2,376.6","2,046.3",304.0
Rich Brian,"2,679.2",0.940,"1,486.8",961.0,"1,192.4"
Kim Petras,"2,677.0",2.541,851.8,748.1,"1,825.2"
Ciara,"2,676.8",1.479,"2,146.0",990.6,530.9
Electric Light Orchestra,"2,675.4",1.400,"2,613.6","2,613.6",61.8
Mc Don Juan,"2,670.8",3.045,"1,176.0",469.4,"1,494.8"
LP,"2,670.1",1.987,"2,604.5","2,578.5",65.6
Ezhel,"2,668.2",1.555,"1,371.0","1,276.4","1,297.1"
Almighty,"2,666.3",1.361,334.8,161.5,"2,331.6"
Ja Rule,"2,665.5",1.166,"1,732.0",133.2,933.5
Of Monsters and Men,"2,664.3",0.929,"2,664.3","2,651.7",
Tyler Childers,"2,663.9",4.411,"2,663.9","2,310.9",
WALK THE MOON,"2,663.6",0.966,"2,558.7","2,545.8",104.8
LuÃ­sa Sonza,"2,663.0",10.861,"1,653.0",912.1,"1,010.0"
Dominic Fike,"2,656.7",3.672,"2,375.4","2,075.3",281.3
Timmy Trumpet,"2,655.0",1.483,"1,750.8",292.2,904.2
MC Ryan SP,"2,653.1",5.112,551.5,84.7,"2,101.6"
Ali Gatie,"2,649.0",0.934,"2,428.2","2,239.0",220.8
